cenario;tabela;hash;probe;M;N;seed;tempoIns(ns);tempoBus(ns);colisIns;colisBus;rehashCount;top1;top2;top3;gapMin;gapMax;gapMean;gapCount
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;100000;42;5760400;4579000;50019;50019;0;8;8;7;0;10;0.5808;63258
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;100000;4242;3324900;1333100;50318;50318;0;7;7;7;0;12;0.5843;63117
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;100000;424242;2671400;1533800;50027;50027;0;8;7;7;0;10;0.5851;63084
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;1000000;42;224912300;177335900;5001241;5001241;0;26;25;25;0;1;0.0001;99991
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;1000000;4242;219928100;117941200;4997679;4997679;0;25;25;25;0;1;0.0000;99995
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;1000000;424242;177835800;120591300;4998285;4998285;0;25;25;25;0;1;0.0000;99995
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;10000000;42;55352573200;54565160300;499950890;499950890;0;145;145;144;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;10000000;4242;52359592700;50528952800;499972599;499972599;0;147;145;143;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;100000;10000000;424242;50945289200;50341157500;499926193;499926193;0;144;143;143;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;100000;42;6208800;4165000;50230;50230;0;8;7;7;0;11;0.5823;63197
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;100000;4242;3247200;3137700;49862;49862;0;7;7;7;0;9;0.5808;63259
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;100000;424242;3219100;3107900;50091;50091;0;8;7;7;0;11;0.5825;63192
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;1000000;42;263297300;133899500;4996827;4996827;0;25;24;24;0;1;0.0001;99991
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;1000000;4242;126766500;106000000;5001923;5001923;0;25;25;25;0;1;0.0001;99994
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;1000000;424242;164403100;122604900;4997866;4997866;0;27;25;24;0;1;0.0001;99992
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;10000000;42;51091438600;51117891100;499963371;499963371;0;145;143;141;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;10000000;4242;40713137000;40167961200;499937913;499937913;0;145;144;144;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;100000;10000000;424242;27875214800;21401550500;499959471;499959471;0;145;143;142;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;100000;42;6202400;2797700;49972;49972;0;7;7;7;0;11;0.5816;63224
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;100000;4242;2107300;2408800;49892;49892;0;8;8;7;0;14;0.5812;63241
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;100000;424242;2209400;2467500;49914;49914;0;8;8;8;0;14;0.5810;63250
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;1000000;42;206464900;126056600;5000271;5000271;0;28;25;25;0;2;0.0001;99994
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;1000000;4242;136714500;148071800;5002587;5002587;0;26;26;25;0;1;0.0001;99993
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;1000000;424242;139938200;124802000;5001774;5001774;0;30;29;25;0;1;0.0000;99997
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;10000000;42;44307785600;44057769000;499984354;499984354;0;146;143;141;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;10000000;4242;26394318300;16238295000;499972259;499972259;0;145;143;142;0;0;0.0000;99999
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;100000;10000000;424242;26729233400;17763269100;499986721;499986721;0;145;144;144;0;0;0.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;200001;100000;42;13365900;2148700;180329;49205;1;0;0;0;0;22;0.9999;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;200001;100000;4242;1400800;1101700;50658;50658;0;0;0;0;0;27;1.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;200001;100000;424242;1356800;1316700;49596;49596;0;0;0;0;0;22;1.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1600015;1000000;42;56606900;19772700;2674874;829744;3;0;0;0;0;19;0.6000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1600015;1000000;4242;23578900;16167700;832072;832072;0;0;0;0;0;21;0.6000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1600015;1000000;424242;25782800;17488000;835726;835726;0;0;0;0;0;26;0.6000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;12800127;10000000;42;658331400;424229100;32504373;17639573;3;0;0;0;0;19;0.2800;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;12800127;10000000;4242;481603800;427780300;17563326;17563326;0;0;0;0;0;24;0.2800;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;12800127;10000000;424242;476419600;432845700;17627890;17627890;0;0;0;0;0;21;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;200001;100000;42;9997900;7373600;190811;50895;1;0;0;0;0;24;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;200001;100000;4242;2951300;2555300;49627;49627;0;0;0;0;0;18;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;200001;100000;424242;2868000;2455100;50383;50383;0;0;0;0;0;23;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1600015;1000000;42;67572800;43286900;2690080;832628;3;0;0;0;0;19;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1600015;1000000;4242;45979700;35757100;833000;833000;0;0;0;0;0;22;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1600015;1000000;424242;49402700;18276700;828271;828271;0;0;0;0;0;21;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;12800127;10000000;42;734558500;503853000;32662593;17851703;3;0;0;0;0;21;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;12800127;10000000;4242;532899800;507512800;17806669;17806669;0;0;0;0;0;21;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;12800127;10000000;424242;521974000;508434900;17824976;17824976;0;0;0;0;0;20;0.2800;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;200001;100000;42;7429500;3639700;180989;50047;1;0;0;0;0;24;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;200001;100000;4242;3951300;3403200;50310;50310;0;0;0;0;0;27;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;200001;100000;424242;3705000;2926800;50150;50150;0;0;0;0;0;23;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;1600015;1000000;42;68668100;38406200;2688972;838533;3;0;0;0;0;22;0.6000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;1600015;1000000;4242;46960500;34540200;829072;829072;0;0;0;0;0;18;0.6000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;1600015;1000000;424242;49673700;39193500;831931;831931;0;0;0;0;0;20;0.6000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;12800127;10000000;42;757178400;516322900;32648966;17648832;3;0;0;0;0;18;0.2800;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;12800127;10000000;4242;574991400;525881500;17593813;17593813;0;0;0;0;0;18;0.2800;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),LINEAR);UNIVERSAL(seed=123456789);LINEAR;12800127;10000000;424242;584733700;517995400;17623325;17623325;0;0;0;0;0;19;0.2800;9999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;200001;100000;42;13408200;9298200;197273;38153;1;0;0;0;0;16;1.0000;99998
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;200001;100000;4242;2039800;1572500;38828;38828;0;0;0;0;0;16;1.0000;99999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;200001;100000;424242;1924700;1536900;38350;38350;0;0;0;0;0;14;1.0000;99999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;1600015;1000000;42;77665900;42602700;1608042;577489;3;0;0;0;0;16;0.6000;999998
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;1600015;1000000;4242;37271600;22155800;580029;580029;0;0;0;0;0;14;0.6000;999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;1600015;1000000;424242;29397600;24628500;576066;576066;0;0;0;0;0;15;0.6000;999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;12800127;10000000;42;1100977900;715179100;17301193;10410425;3;0;0;0;0;11;0.2800;9999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;12800127;10000000;4242;795447600;721124200;10391533;10391533;0;0;0;0;0;10;0.2800;9999999
INSER+BUSCA;OA(RESTO,DUPLO_HASH);RESTO;DUPLO_HASH;12800127;10000000;424242;874715500;690253400;10384003;10384003;0;0;0;0;0;10;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;200001;100000;42;4676500;2025700;97769;38990;1;0;0;0;0;16;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;200001;100000;4242;2424200;1994500;38443;38443;0;0;0;0;0;19;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;200001;100000;424242;2295700;2000300;38948;38948;0;0;0;0;0;18;1.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;1600015;1000000;42;99582200;33640800;1391652;568020;3;0;0;0;0;14;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;1600015;1000000;4242;37072700;27488900;568556;568556;0;0;0;0;0;12;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;1600015;1000000;424242;36580600;31245700;569813;569813;0;0;0;0;0;13;0.6000;999999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;12800127;10000000;42;1366920600;856110400;44969626;35219550;3;0;0;0;0;11;0.2800;9999996
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;12800127;10000000;4242;828463300;754773300;9627008;9627008;0;0;0;0;0;10;0.2800;9999999
INSER+BUSCA;OA(MULTIPLICACAO,DUPLO_HASH);MULTIPLICACAO;DUPLO_HASH;12800127;10000000;424242;886092000;741691500;9620688;9620688;0;0;0;0;0;11;0.2800;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;200001;100000;42;4241700;1872100;97524;39174;1;0;0;0;0;15;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;200001;100000;4242;2201200;1752400;38338;38338;0;0;0;0;0;21;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;200001;100000;424242;2026300;1748000;38728;38728;0;0;0;0;0;18;1.0000;99999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;1600015;1000000;42;76040000;42068900;1389684;567781;3;0;0;0;0;13;0.6000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;1600015;1000000;4242;49718700;30385700;569454;569454;0;0;0;0;0;19;0.6000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;1600015;1000000;424242;36543500;29435100;569150;569150;0;0;0;0;0;15;0.6000;999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;12800127;10000000;42;1429528000;805996300;28779996;22198644;3;0;0;0;0;9;0.2800;9999998
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;12800127;10000000;4242;843442100;784871000;9389514;9389514;0;0;0;0;0;11;0.2800;9999999
INSER+BUSCA;OA(UNIVERSAL(seed=123456789),DUPLO_HASH);UNIVERSAL(seed=123456789);DUPLO_HASH;12800127;10000000;424242;846690700;793293000;9393302;9393302;0;0;0;0;0;9;0.2800;9999999
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;100000;42;2425500;823400;5081;5081;0;4;4;4;0;128;9.5180;95074
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;100000;4242;1942300;734800;5006;5006;0;4;4;4;0;127;9.5093;95153
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;100000;424242;1893900;735700;5083;5083;0;4;4;4;0;124;9.5177;95076
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;1000000;42;140946400;41764800;499881;499881;0;9;8;8;0;15;0.5821;632072
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;1000000;4242;29947500;25182000;499662;499662;0;9;8;8;0;18;0.5818;632177
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;1000000;424242;31880600;27502000;500005;500005;0;8;8;8;0;15;0.5823;631977
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;10000000;42;2213644200;1629462200;49947011;49947011;0;31;29;28;0;1;0.0001;999948
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;10000000;4242;2490045700;2028584000;49955505;49955505;0;27;27;26;0;1;0.0000;999953
INSER+BUSCA;ENCAD_SEPARADO(RESTO);RESTO;-;1000000;10000000;424242;2213724000;1469013500;49948195;49948195;0;28;28;28;0;1;0.0001;999947
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;100000;42;1921600;2669600;5090;5090;0;4;4;4;0;123;9.5175;95078
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;100000;4242;2011100;960100;4931;4931;0;4;4;3;0;101;9.5018;95220
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;100000;424242;2162700;1005200;4910;4910;0;4;4;4;0;118;9.5009;95229
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;1000000;42;50201600;40592400;499803;499803;0;9;9;8;0;12;0.5818;632197
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;1000000;4242;34842000;30237000;500457;500457;0;8;8;8;0;14;0.5823;631971
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;1000000;424242;36399100;30045200;499917;499917;0;9;9;8;0;13;0.5819;632136
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;10000000;42;3120169000;2703773700;49967936;49967936;0;29;28;28;0;1;0.0000;999952
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;10000000;4242;2949577300;2488893200;49961971;49961971;0;27;26;26;0;1;0.0000;999951
INSER+BUSCA;ENCAD_SEPARADO(MULTIPLICACAO);MULTIPLICACAO;-;1000000;10000000;424242;2964695200;941679500;49954189;49954189;0;32;27;26;0;1;0.0000;999950
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;100000;42;2093900;812800;4957;4957;0;4;4;4;0;141;9.5040;95199
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;100000;4242;1737200;776400;4962;4962;0;4;4;4;0;137;9.5068;95173
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;100000;424242;1868400;727200;5081;5081;0;4;4;4;0;122;9.5180;95073
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;1000000;42;28873900;26062300;498741;498741;0;10;9;9;0;14;0.5809;632553
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;1000000;4242;31800500;27281800;498560;498560;0;8;8;8;0;12;0.5805;632690
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;1000000;424242;30735500;26938500;500438;500438;0;8;8;8;0;11;0.5824;631941
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;10000000;42;2421913900;1942120500;49954817;49954817;0;30;29;28;0;1;0.0000;999971
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;10000000;4242;2362866600;1899802500;49956307;49956307;0;30;28;28;0;1;0.0000;999951
INSER+BUSCA;ENCAD_SEPARADO(UNIVERSAL(seed=123456789));UNIVERSAL(seed=123456789);-;1000000;10000000;424242;2191602600;1509914700;49961579;49961579;0;28;27;27;0;1;0.0000;999950
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1000000;100000;42;3337200;1385200;5647;5647;0;0;0;0;0;128;9.0000;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1000000;100000;4242;2502700;1343500;5468;5468;0;0;0;0;0;127;9.0001;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;1000000;100000;424242;2597900;1131500;5626;5626;0;0;0;0;0;124;8.9999;99999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;2000001;1000000;42;44064900;19120800;1815526;499947;1;0;0;0;0;24;1.0000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;2000001;1000000;4242;24987400;14177200;499196;499196;0;0;0;0;0;26;1.0000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;2000001;1000000;424242;21353400;12693200;496252;496252;0;0;0;0;0;25;1.0000;999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;16000015;10000000;42;697437500;372033000;26820224;8202258;3;0;0;0;0;26;0.6000;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;16000015;10000000;4242;461747800;375119000;8203512;8203512;0;0;0;0;0;23;0.6000;9999999
INSER+BUSCA;OA(RESTO,LINEAR);RESTO;LINEAR;16000015;10000000;424242;458707200;376880300;8214324;8214324;0;0;0;0;0;24;0.6000;9999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1000000;100000;42;1308400;809800;5677;5677;0;0;0;0;0;123;8.9999;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1000000;100000;4242;1843800;994800;5474;5474;0;0;0;0;0;101;8.9999;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;1000000;100000;424242;1426100;731100;5479;5479;0;0;0;0;0;118;9.0000;99999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;2000001;1000000;42;41959500;19370300;1816944;499440;1;0;0;0;0;24;1.0000;999999
INSER+BUSCA;OA(MULTIPLICACAO,LINEAR);MULTIPLICACAO;LINEAR;2000001;1000000;4242;26495400;17948200;499495;499495;0;0;0;0;0;28;1.0000;999999
